
###################################################################
###################################################################
###################################################################

Current time: 2023-10-10 02:30:04.344665

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'dropout': 0, 'previous_steps': 5}

learning: {'nBatch': 14, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: correction_LSTMs


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 203016

The number of parameter in second model : 201480

Epoch [157/2000], First Loss: 352.5748, Second Loss: 424.2858, Val Loss: 360.4598 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [158/2000], First Loss: 352.3903, Second Loss: 424.2845, Val Loss: 360.4580 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [159/2000], First Loss: 352.6028, Second Loss: 424.2835, Val Loss: 360.4566 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [160/2000], First Loss: 353.2039, Second Loss: 424.2824, Val Loss: 360.4550 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [161/2000], First Loss: 353.0107, Second Loss: 424.2808, Val Loss: 360.4506 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [162/2000], First Loss: 352.9316, Second Loss: 424.2790, Val Loss: 360.4458 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [163/2000], First Loss: 352.9557, Second Loss: 424.2773, Val Loss: 360.4421 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [164/2000], First Loss: 353.4368, Second Loss: 424.2751, Val Loss: 360.4381 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [165/2000], First Loss: 353.1129, Second Loss: 424.2725, Val Loss: 360.4339 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [166/2000], First Loss: 352.6409, Second Loss: 424.2696, Val Loss: 360.4294 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [167/2000], First Loss: 352.3854, Second Loss: 424.2662, Val Loss: 360.4250 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [168/2000], First Loss: 353.7515, Second Loss: 424.2642, Val Loss: 360.4218 [(kW/hour)^2], MinVal : 359.1307678222656
